специальности,Код
Дошкольное воспитание и обучение,5B010100
Организация воспитательной работы (по уровням),5B010100
Физическая культура и спорт,5B010800
Профессиональное обучение (по отраслям),5B012000
Начальное образование,5B010200
Музыкальное образование,5B010600
Безопасность жизнедеятельности и валеология,5B073100
Лаборант организации образования,5B010100
Основное среднее образование,5B010100
Исламоведение,5B021100
Теология,5B021100
Правоведение,5B030200
Правоохранительная деятельность,5B030200
Патентоведение,5B030200
Лечебное дело,5B130100
Сестринское дело,5B110100
Гигиена и эпидемиология,5B110400
Стоматология,5B130200
Лабораторная диагностика,5B130100
Фармация,5B110300
Стоматология ортопедическая,5B130200
Медицинская оптика,5B110400
Библиотечное дело,5B091000
Дизайн (по профилю),5B042100
Социально-культурная деятельность и народное художественное творчество (по профилю),5B090600
Инструментальное исполнительство и музыкальное искусство эстрады(по видам),5B010600
Хоровое дирижирование,5B010600
Теория музыки,5B010600
Пение,5B090600
Хореографическое искусство,5B090600
Актерское искусство,5B090600
Цирковое искусство,5B090600
Театрально-декоративное искусство (по профилю),5B090600
"Живопись, скульптура и графика (по видам)",5B041700
Декоративно-прикладное искусство и народные промыслы (по профилю),5B041700
Реставрация (по отраслям),5B041700
Ювелирное дело (по отраслям),5B041700
"Артист исполнитель, звукооператор концертных программ",5B090600
Дизайн промышленной продукции,5B042100
Ландшафтный дизайн,5B042100
Дизайн в строительстве,5B042100
Дизайн интерьера,5B042100
Социальная работа,5B090500
Обслуживание и ремонт телекоммуникационного оборудования и бытовой техники (по отраслям),5B071900
Слесарное дело,5B070900
Организация обслуживания гостиничных хозяйств,5B091200
Организация питания,5B051900
Обувное дело,5B051900
Делопроизводство и архивоведение (по отраслям и областям применения),5B051500
Туризм (по отраслям),5B090200
Переводческое дело (по видам),5B020700
Маркетинг (по отраслям),5B051100
Оценка,5B090800
Менеджмент (по отраслям и областям применения),5B080200
Финансы (по отраслям),5B050900
Статистика,5B051200
Учет и аудит (по отраслям),5B050800
Экономика (по отраслям),5B050600
Логистика (по отраслям),5B090900
Гостиничный бизнес: управление рестораном/отелем,5B091200
Организация и обслуживание мероприятий,5B091200
"Стандартизация, метрология и сертификация (по отраслям)",5B073200
Контроль качества (по отраслям применения),5B073200
Неразрушающий контроль по отраслям и видам неразрушающего контроля,5B073200
"Геологическая съемка, поиск и разведка месторождений полезных ископаемых (по видам)",5B070600
Технология и техника разведки месторождений полезных ископаемых,5B070600
Гидрогеология и инженерная геология,5B070600
Геофизические методы поиска и разведки месторождений полезных ископаемых,5B070600
Подземная разработка месторождений полезных ископаемых,5B070600
Открытая разработка месторождений полезных ископаемых,5B070600
Техническое обслуживание и ремонт горного электромеханического оборудования,5B073700
Обогащение полезных ископаемых (углеобогащение),5B073700
Обогащение полезных ископаемых (рудообогащение),5B073700
Техническое обслуживание и ремонт карьерного электромеханического оборудования,5B072400
Строительство подземных сооружений,5B072900
Геодезия и картография,5B071100
Бурение нефтяных и газовых скважин и технология буровых работ (по профилю),5B070800
Сооружение и эксплуатация газонефтепроводов и газонефтехранилищ,5B070800
Ремонт и обслуживание электрических систем компрессорных станцийи подземных трубопроводов,5B070800
Монтаж технологического оборудования и трубопроводов,5B070800
Транспортировка и хранение нефти и газа,5B070800
Испытание скважин на нефть и газ,5B070800
Техническое обслуживание и ремонт оборудования нефтяных и газовых промыслов,5B070800
Техническое обслуживание и ремонт оборудования предприятий нефтегазоперерабатывающей и химической промышленности (по видам),5B070800
Эксплуатация нефтяных и газовых месторождений (по профилю),5B070800
"Сооружения и эксплуатация газонефтепроводов, газонефтехранилищ и заправочных станций",5B070800
Производство химических волокон,5B011200
Резино-техническоепроизводство,5B071200
Производство шин и процесс вулканизации,5B071200
Технология полимерного производства,5B072800
Эксплуатация машин и оборудований химического производства вяжущих и сыпучих материалов,5B072400
Химическая технология и производство (по видам),5B011200
Коксохимическое производство,5B072100
Технология химического производства (по профилю),5B072000
Технология переработки нефти и газа,5B070800
Технология добычи нефти и газа,5B070800
Эксплуатация месторождений,5B070700
Технология химического инжиниринга,5B011200
Технология бурения,5B070800
Технология газового инжиниринга,5B070800
Промышленное оборудование,5B072400
Тяжелое промышленное оборудование,5B072400
Технология переработки энергетики и электроэнергетического инжиниринга,5B071900
Технология электрического инжиниринга,5B071900
Технология тугоплавких неметаллических и силикатных материалов и изделий,5B070900
Электроэнергетика,5B071800
Электрооборудование электрических станций и сетей (по видам),5B071800
Электроснабжение (по отраслям),5B071800
Электроэнергетика (по отраслям),5B071800
"Электроснабжение, эксплуатация, тех­ническое обслуживание и ремонт электротехнических систем железных дорог",5B071800
Эксплуатация энергетических транспортных установок (по видам транспорта),5B071700
Теплоэнергетические установки тепловых электрических станций,5B071700
Теплотехническое оборудование и системы теплоснабжения (по видам),5B071700
"Технология воды, топлива и смазочных материалов на электрических станциях ",5B061000
Ядерные реакторы и энергетические установки,5B060500
Электрическое и электромеханическое оборудование (по видам),5B072400
"Техническая эксплуатация, обслуживание и ремонт электрического и электромеханического оборудования (по видам)",5B072400
Электротехнология(по видам),5B071800
Энерго менеджмент,5B071800
Энергоаудит,5B071800
Гидроэнергетика,5B061000
Гибридная энергия,5B071800
Традиционная энергетика,5B071800
Возобновляемая энергетика,5B071800
Сети высокого напряжения,5B071800
Сети низкого напряжения,5B071800
Металлургия,5B070900
Обслуживание и ремонт доменной печи,5B070900
Металлургия черных металлов (по видам),5B070900
Металлургия цветных металлов,5B070900
Литейное производство,5B073000
Внепечная обработка стали,5B070900
Металлообработка (по видам),5B070900
Производство огнеупоров,5B073000
"Композиционные и порошковые материалы, покрытия",5B071000
Прокатное производство,5B073000
Трубное производство,5B071600
Автоматические линии и агрегатные станки,5B071600
Технология машиностроения,5B071200
Гибкие автоматические линии,5B071600
"Механообработка, контрольно-измерительные приборы и автоматика в промышленности ",5B071600
Технология машиностроения (по видам),5B071200
Монтаж в машиностроении и испытание автомобиля,5B071200
Промышленная механика,5B060300
Точное машиностроение,5B071200
Механическая обработка,5B073800
Автомобилестроение,5B071200
Авиационная техника,5B071400
Производство летательных аппаратов,5B071400
Производство авиационных приборов,5B071400
Морская техника,5B071600
Электрорадиомонтаж морской техники,5B071900
Транспортная техника,5B071300
"Эксплуатация, техническое обслуживаниеи ремонт городского электротранспорта (по отраслям)",5B074500
Производство подвижного состава железных дорог (по видам),5B074500
"Техническая эксплуатация подъемно-транспортных, строительно-дорожных машин и оборудования (по отраслям)",5B090100
"Эксплуатация, ремонт и техническое обслуживание подвижного состава железных дорог (по видам)",5B090100
Технологические машины и оборудование,5B072400
Токарное дело и металлообработка (по видам),5B070900
Грузоподъемныемашины и транспортеры,5B072400
Кузнечно-прессовое оборудование,5B072400
Эксплуатация машин и оборудования промышленности,5B072400
Машины и оборудование в металлургии,5B072400
Сварочное дело (по видам),5B072400
Электромеханическое оборудование в промышленности (по видам),5B072400
Геологоразведочное оборудование,5B072400
Оборудование для производства электронной техники,5B072400
"Оборудование предприятий питания, торговли и мясной промышленности",5B072400
Холодильно-компрессорные машины и установки,5B072400
Техническое обслуживание технологических машин и оборудования (по видам),5B071300
"Монтаж, техническое обслуживание и ремонт медицинской техники",5B071300
Военное дело и безопасность,5B010400
"Техническое обслуживание,ремонт и эксплуатация автомобильного транспорта",5B071300
Организация перевозок и управление движением на транспорте (по отраслям),5B090100
Организация перевозок и управление движением на железнодорожном транспорте,5B090100
Эксплуатация водного транспорта (по профилю),5B090100
Управление движением и эксплуатация воздушного транспорта,5B090100
Организация дорожного движения,5B090100
Технология изделий и товаров широкого потребления,5B072600
Технология обработки волокнистых материалов,5B072600
Технология прядильного и чесального производства (по видам),5B072600
Ткацкое производство (по видам),5B072600
Технология нетканых текстильных материалов,5B072600
Швейное производство и моделирование одежды,5B072600
Обувное производство (по видам),5B072600
Технология производств меховых и овчинно-шубных изделий,5B072600
"Технология трикотажных, текстильных, галантерейных изделий",5B072600
Оборудование организаций легкой промышленности,5B072700
Технология производства пищевых продуктов,5B072700
"Элеваторное, мукомольное, крупяное и комбикормовое производство ",5B072700
Производство табака,5B072700
Оборудование предприятий пищевой промышленности,5B072700
"Хлебопекарное, макаронное и кондитерское производство",5B072700
Сахарное производство,5B072700
Рыбное производство,5B080200
Производство консервов и пище концентратов,5B080200
"Производство пива,безалкогольных и спиртных напитков",5B072700
Производство молочной продукции,5B072700
Производство мяса и мясных продуктов (по видам),5B072700
Технология и организация производства продукции предприятий питания,5B072700
Полиграфическое производство,5B072200
Кабельное производство,5B073000
Приборостроение(по отраслям),5B071600
Производство стекловолокон и стеклоизделий,5B073000
Изготовление фарфоровых и фаянсовых изделий,5B072600
Керамическое производство,5B073000
Отделочное производство (по профилю),5B080200
Электронные приборы и устройства,5B071900
Автоматика и управления,5B070200
Автоматизация и управление (по профилю),5B070200
Информатика и вычислительная техника,5B230100
Вычислительная техника и программное обеспечение (по видам),5B070400
Информационные системы (по областям применения),5B070300
"Связь,радиоэлектроника и телекоммуникации",5B071900
Радиоэлектроника и связь (по видам),5B071900
Эксплуатация линейных сооружений электросвязи и проводного вещания,5B071900
Эксплуатация автоматизированных систем связи,5B071900
Оптическое и электронное оборудование (по видам),5B071900
Техническая эксплуатация транспортного радиоэлектронного оборудования (по видам транспорта),5B071900
Компьютерные сети и телекоммуникации,5B071900
Программирование,5B070400
Вычислительная техника и компьютерное оборудование,5B070400
Информационная безопасность,5B100200
Микроэлектроника и мобильные устройства,5B071900
Строительство и эксплуатация зданий и сооружений,5B072900
Техническая эксплуатация дорожно-строительных машин (по видам),5B090100
Строительство и эксплуатация городских путей сообщения,5B074500
"Строительство железных дорог, путь и путевое хозяйство",5B074500
Строительство автомобильных дорог и аэродромов,5B074500
Мосты и транспортные тоннели,5B074500
Производство строительных изделий и конструкций,5B073000
Производство железобетонных и металлических изделий (по видам),5B073000
Мебельное производство (по видам),5B080200
Лифтовое хозяйство и эскалаторы (по видам),
Переработка отходов,5B072800
"Дизайн интерьера, реставрация, реконструкция гражданских зданий",5B042100
Архитектура,5B042000
Строительная механика,5B074500
"Отопление, кондиционирование и вентиляция",5B071700
Водоснабжение и водоотведение,
Техническоеобслуживание и ремонт сельскохозяйственной техники,5B080600
Агрономия,5B080100
Растениеводство,5B080900
Фермерское хозяйство (по профилю),
Рыбное хозяйство (по видам),5B080400
Охотоведение и звероводство,5B080300
"Лесное хозяйство, садово-парковое и ландшафтное строительство (по видам)",5B080700
Механизация сельского хозяйства,
Землеустройство,5B090300
Зоотехния,5B120200
Ветеринария,5B120100
Экология и рациональное использование природных ресурсов (по отраслям),5B060800
Гидрология и метеорология,5B061000
Пожарная безопасность,5B073100
Защита в чрезвычайных ситуациях (по профилю),5B073100
Электрификация и автоматизация сельского хозяйства,5B081200
Мехатроника,5B060300